design_id,design_class,graph_path,spatial_path,timing_rpt_path,clock_target_ns,wns,tns,freq_mhz,slack_p0,slack_p10,slack_p50,slack_p90,violation_count,clock_period,mean_density,std_density,peak_density,hotspot_tile_count,utilization_estimate,max_fan_out,register_count,avg_path_depth,total_edges,node_count,edge_density,total_power,freq_mhz_label,cell_area
aes_cipher_fast,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\aes_cipher_fast.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\aes_cipher_fast.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\aes_cipher_fast\timing.rpt,2.0,-0.214,-0.617,451.67,-0.214,-0.2015,0.382,0.6345000000000001,3,2.0,0.01666666753590107,0.07637625932693481,1.0,476,0.0476,0,98,0.0,0,500,0.0,14.579,451.67,53009.8
aes_cipher_nominal,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\aes_cipher_nominal.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\aes_cipher_nominal.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\aes_cipher_nominal\timing.rpt,3.0,-0.013,-0.037,331.9,-0.013,-0.012,0.2405,1.131,3,3.0,0.02500000037252903,0.11302655190229416,1.0,482,0.0482,0,100,0.0,0,500,0.0,7.4303,331.9,40957.6
aes_cipher_relaxed,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\aes_cipher_relaxed.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\aes_cipher_relaxed.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\aes_cipher_relaxed\timing.rpt,4.0,0.075,0.0,250.0,0.075,0.1464,0.7,1.1461,0,4.0,0.02500000037252903,0.11258330196142197,1.0,484,0.0484,0,82,0.0,0,500,0.0,6.3673,250.0,36345.0
sha256_fast,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\sha256_fast.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\sha256_fast.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\sha256_fast\timing.rpt,2.0,-0.159,-0.764,463.18,-0.159,-0.154,0.467,0.6964,5,2.0,0.01666666753590107,0.07593856751918793,1.0,480,0.048,0,101,0.0,0,500,0.0,20.582,463.18,68522.8
sha256_nominal,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\sha256_nominal.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\sha256_nominal.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\sha256_nominal\timing.rpt,3.0,-0.041,-0.041,328.84,-0.041,0.1953,0.5195000000000001,1.0556999999999999,1,3.0,0.02500000037252903,0.11346805840730667,1.0,480,0.048,0,86,0.0,0,500,0.0,13.114,328.84,55673.4
sha256_relaxed,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\sha256_relaxed.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\sha256_relaxed.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\sha256_relaxed\timing.rpt,4.0,-0.037,-0.06,247.71,-0.037,0.11440000000000003,0.851,1.1944,2,4.0,0.02500000037252903,0.11456438899040222,1.0,475,0.0475,0,88,0.0,0,500,0.0,8.0982,247.71,50222.5
fpu_fast,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\fpu_fast.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\fpu_fast.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\fpu_fast\timing.rpt,2.0,-0.1,-0.357,476.19,-0.1,-0.0828,0.253,0.6861,4,2.0,0.02500000037252903,0.11412712186574936,1.0,477,0.0477,0,83,0.0,0,500,0.0,21.64,476.19,94432.4
fpu_nominal,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\fpu_nominal.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\fpu_nominal.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\fpu_nominal\timing.rpt,3.0,0.053,0.0,333.33,0.053,0.0984,0.5915,1.0934000000000001,0,3.0,0.02500000037252903,0.1143459677696228,1.0,476,0.0476,0,103,0.0,0,500,0.0,18.558999999999997,333.33,93479.2
fpu_relaxed,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\fpu_relaxed.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\fpu_relaxed.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\fpu_relaxed\timing.rpt,4.0,-0.044,-0.044,247.28,-0.044,0.0934,0.567,1.1932,1,4.0,0.02500000037252903,0.11191514134407043,1.0,487,0.0487,0,98,0.0,0,500,0.0,13.15,247.28,62014.5
multiplier_32b_fast,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\multiplier_32b_fast.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\multiplier_32b_fast.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\multiplier_32b_fast\timing.rpt,2.0,-0.001,-0.003,499.75,-0.001,-0.001,0.34099999999999997,0.6681000000000001,4,2.0,0.01666666753590107,0.07505553960800171,1.0,485,0.0485,0,102,0.0,0,500,0.0,9.9892,499.75,45072.8
multiplier_32b_nominal,arithmetic,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\graph\multiplier_32b_nominal.pt,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\features\spatial\multiplier_32b_nominal.npy,C:\Users\Owner\OneDrive - Transatlantic Business Consulting Inc\General - TB Consulting\OT-Humber\ML-Driven PPA Optimization\ppa_framework_extracted\ppa_framework\data\reports\multiplier_32b_nominal\timing.rpt,3.0,-0.015,-0.067,331.67,-0.015,-0.0126,0.673,1.1028,5,3.0,0.02500000037252903,0.1152171865105629,1.0,472,0.0472,0,96,0.0,0,500,0.0,6.065799999999999,331.67,37406.6
